"","Categorical Slope","Categorical intercept","Categorical EC50","Continuous Slope","Continuous intercept","Continuous EC50"
"dataset34",3.44379789757137,0.944390696263228,47.3093415707059,3.24692726986748,0.966792701616386,42.6440633210685
"dataset35",3.6868438207273,0.95750923804106,38.1994398980111,8.10587176275361,0.893506715115781,50.5871107163077
"dataset36",2.38410809607917,0.94362790156872,45.982641918676,2.63918586742867,0.929596562648584,49.8359785790484
"dataset37",3.3978644276508,0.976796931051915,40.704633133784,2.42963095803735,0.943062162844005,46.5374179342599
"dataset38",2.88858494780748,0.958363049252669,46.6252100030426,2.90609050008656,0.930311692261959,45.3075862268931
"dataset39",2.63441516144219,0.958411997109465,41.3318890540091,2.81198665637173,0.96382624432131,47.0241555902447
"dataset40",3.23953169649802,0.965583273947224,41.1456909918533,2.72411363450457,0.981812649144994,49.0145146028629
"dataset41",3.36870920373673,0.943633510697432,42.9703090357113,3.56120054994414,0.965811203166026,38.6189270441089
"dataset42",3.8371902620023,0.93225737756507,51.6385972699007,2.87614539653442,0.987549470589578,40.0546814697654
"dataset43",5.48162210347091,0.885447247602371,54.2850073254886,4.29716747400174,0.95158960429879,45.598388984157
"dataset44",3.97046838792801,0.946552653444326,46.8852450373486,3.27758209219879,0.955079882600996,38.1864070597342
"dataset45",2.21803407852796,0.975168465982156,43.889212137405,3.16636557719476,0.958353111913817,39.7587380613525
"dataset46",2.43217224238777,1.0379915035362,36.8263796638933,3.91022091784949,0.969998359840042,45.0689311431711
"dataset47",2.93800211122676,0.980524832121228,40.362402604778,3.9420126801927,0.975697680551818,43.130328001435
"dataset48",2.80016261867978,0.98057353785964,43.4941101893364,3.21100744948112,0.988086037953959,47.1665987634467
"dataset49",2.81161401463092,0.949225084298655,49.3719851661971,1.9692653416066,0.998692565615335,43.7179001541515
"dataset50",1.66964248768245,0.999539332228592,34.0758635046349,4.01282439979773,0.932198335364407,41.0051482465298
"dataset51",2.16255733459929,0.934357832873405,50.682059496714,3.77649708905242,0.95067026118424,52.1367074971987
"dataset52",2.84979397736418,0.955993713672007,42.56134348485,3.39677802675832,0.974337874647019,46.9325081308108
"dataset53",3.92886065972503,0.92267592963767,50.7069576507496,2.7676989879742,0.962894665534997,49.8306666763165
"dataset54",2.73161331453018,0.984945357492699,41.9271570395576,4.92960437160418,0.981294431827775,46.3940000823427
"dataset55",3.50167215001493,0.951332773516031,49.7663696149105,3.29569693540687,0.923309934598805,43.7173712720808
"dataset56",3.24140280973017,0.941230316710918,50.3554872145003,2.95130089322027,0.989921912083747,48.3877491996388
"dataset57",3.5462415974578,0.934469293628338,44.2181359536579,2.90521614123194,0.970423860192192,39.3397006706832
"dataset58",3.95732697272876,0.905552761390688,52.4253034496127,3.25710984360158,0.896356297508698,45.8493371510722
"dataset59",5.1508922387307,0.929296205251983,49.4959852485438,4.08488178701395,0.972116204679284,41.5503522918414
"dataset60",2.42135258793411,0.957501677870676,48.5862797751489,2.64331076376215,0.941017579849798,43.9565767521639
"dataset61",2.59605149708379,1.00660269043116,42.4520605642194,4.56254775298972,0.94784941982679,39.7979602768516
"dataset62",2.61390365142645,0.965417761169138,54.739409779283,3.0613760016393,0.980396777004991,44.0210922556815
"dataset63",2.51044770713662,0.968865976198276,39.1334619680039,4.5257480813779,0.966427696457265,40.2742528748087
