"","Est.","CI(95%).Lower","CI(95%).Upper"
"dataset233",2.136,-0.1875,4.459
"dataset234",16.13,13.55,18.7
"dataset235",1.884,0.1178,3.65
"dataset236",12.47,11.11,13.82
"dataset237",7.22,5.222,9.218
"dataset238",6.166,4.629,7.704
"dataset239",6.253,4.82,7.687
"dataset240",3.331,0.9102,5.752
"dataset241",2.332,0.5782,4.086
"dataset242",7.855,6.402,9.307
"dataset243",12.57,11.09,14.06
"dataset244",12.53,10.88,14.18
"dataset245",5.679,3.276,8.082
"dataset246",12.49,11.24,13.74
"dataset247",8.734,7.261,10.21
"dataset248",6.18,4.668,7.692
"dataset249",12.5,11.02,13.98
"dataset250",10.07,8.831,11.3
"dataset251",1.109,-1.241,3.46
"dataset252",4.594,2.275,6.913
"dataset253",16.44,15.13,17.75
"dataset254",6.299,4.959,7.638
"dataset255",6.235,4.436,8.033
"dataset256",11.03,9.832,12.23
"dataset257",14.3,12.82,15.78
"dataset258",13.66,12.23,15.1
"dataset259",8.412,6.932,9.891
"dataset260",6.405,5.012,7.797
"dataset261",8.707,7.33,10.08
"dataset262",6.243,4.456,8.03
"dataset263",2.058,0.3342,3.782
"dataset264",17.86,15.88,19.83
"dataset265",6.167,4.359,7.976
"dataset266",5.956,4.199,7.713
"dataset267",1.181,-1.236,3.598
"dataset268",5.817,4.041,7.593
"dataset269",12.56,11.2,13.91
"dataset270",6.183,4.694,7.673
"dataset271",14.59,12.93,16.24
"dataset272",5.303,2.867,7.74
"dataset273",16.04,14.35,17.73
"dataset274",6.301,4.477,8.125
"dataset275",12.43,11.04,13.81
"dataset276",12.33,10.6,14.07
"dataset277",6.303,4.329,8.278
"dataset278",6.103,3.671,8.536
"dataset279",6.315,4.903,7.727
"dataset280",1.397,-0.9386,3.733
"dataset281",7.721,6.388,9.054
"dataset282",12.51,10.91,14.1
"dataset283",6.216,4.406,8.026
"dataset284",12.48,11.03,13.92
"dataset285",6.225,4.691,7.76
"dataset286",6.249,4.492,8.006
"dataset287",6.204,4.708,7.699
"dataset288",23.28,22.11,24.45
"dataset289",1.093,-1.229,3.416
