"","Est.","CI(95%).Lower","CI(95%).Upper"
"610",2.192,-0.2068,4.59
"611",7.89,6.419,9.36
"612",9.93,8.352,11.51
"613",12.48,11.02,13.94
"614",7.875,6.386,9.364
"615",2.728,0.3941,5.062
"616",11.01,9.66,12.36
"617",9.986,8.377,11.59
"618",12.54,11.23,13.84
"619",3.997,2.192,5.802
"620",6.332,4.418,8.246
"621",9.828,8.288,11.37
"622",7.908,5.227,10.59
"623",7.92,6.543,9.297
"624",6.246,4.672,7.821
"625",10.93,9.647,12.22
"626",6.307,4.705,7.909
"627",15.72,14.22,17.22
"628",7.706,6.386,9.026
"629",12.53,11.09,13.97
"630",12.47,10.63,14.31
"631",2.935,0.5425,5.328
"632",9.836,8.439,11.23
"633",7.915,5.258,10.57
"634",1.361,-1.031,3.753
"635",4.504,2.695,6.313
"636",9.929,8.46,11.4
"637",15.7,14.07,17.32
"638",12.47,10.99,13.96
"639",12.5,10.66,14.35
"640",3.232,0.838,5.625
"641",19.81,18.03,21.59
"642",10.7,9.369,12.02
"643",4.844,3.476,6.212
"644",15.71,14.32,17.1
"645",3.882,2.123,5.642
"646",12.61,11.31,13.91
"647",6.272,4.408,8.136
"648",12.57,11.16,13.97
"649",4.968,3.145,6.791
"650",7.945,6.304,9.585
"651",1.073,-1.262,3.408
"652",3.868,2.092,5.644
"653",9.973,8.622,11.32
"654",6.273,4.674,7.873
"655",11.24,9.467,13.02
"656",15.64,14.44,16.84
"657",4.558,2.092,7.025
"658",2.555,0.7948,4.314
"659",2.069,-0.2375,4.375
"660",6.231,4.339,8.122
"661",12.5,10.94,14.07
"662",12.5,10.99,14.01
"663",12.19,10.92,13.46
"664",11.84,10.06,13.61
"665",5.901,4.321,7.481
"666",10.4,9.041,11.76
"667",3.691,1.299,6.083
"668",4.852,3.3,6.404
"669",11.66,10.2,13.11
"670",1.028,-1.329,3.385
"671",1.57,-0.7676,3.907
"672",1.582,-0.7241,3.888
"673",4.852,3.02,6.685
"674",6.826,5.202,8.451
"675",19.65,18.3,20.99
"676",1.329,-0.9743,3.632
"677",1.444,-0.862,3.75
"678",6.386,4.505,8.268
"679",4.948,3.393,6.503
"680",3.541,1.214,5.867
"681",3.911,1.497,6.325
"682",1.814,-0.5812,4.21
"683",19.8,18.38,21.22
"684",12.46,10.85,14.08
"685",7.949,6.438,9.459
"686",7.88,6.225,9.535
"687",12.56,11.02,14.1
"688",19.8,18.39,21.21
"689",16.11,14.65,17.58
"690",3.816,2.023,5.61
"691",7.981,6.637,9.325
"692",5.003,3.434,6.571
"693",19.81,18.38,21.24
"694",6.293,4.429,8.157
"695",6.967,5.526,8.408
