"","NEC Cont","NEC Cat","BAYES NEC Cont","BAYES NEC cat","PW cont","PW cat","ROC Cont","ROC cat","EC5 Cont","EC5 cat"
"49",47.5125665100869,15.6183063354095,15.8392851677451,10.7736305284621,1.523,2.028,41.5975997660593,39.8218457990513,19.686642893832,17.3248454688099
"50",19.8060055500767,21.8659834263312,13.8824713448628,0.00224356197119549,5.188,1.14,45.7507307804849,35.2711644842669,23.907557608846,5.84200858457352
"51",27.908126658309,17.9092059307613,22.1380492121936,6.21697937517967e-101,15.69,6.289,42.8309032701619,40.3421336115245,19.7248184604874,12.9878955419085
"52",19.8223454103411,24.3378813374269,24.4047541516824,13.3978313179917,3.759,21.9,38.4938999644121,38.165915304074,17.1976456553466,15.1459813300512
"53",17.5388126910241,27.0685826070394,17.3572783372181,31.8030866054788,9.89,8.771,43.3034485019937,42.2761047521103,25.5304772267433,23.965726570285
"54",21.6256351734803,34.3711250992354,24.2426389200419,10.0575707405047,2.146,12.47,35.1490359426073,37.0224717342288,17.8915103273266,14.2680344241023
"55",21.4840190839896,10.4269266817252,13.7312931498734,24.4129288798434,17.56,11.14,38.3829426956739,40.5292127158626,17.8422941231802,21.4660560081305
"56",19.8208115018566,19.1488087716292,22.823481121975,12.698120501684,9.893,1.233,34.4055014439481,40.7805408607047,14.2781924698774,20.3020817767325
"57",19.8315279088832,18.9512578741385,5.5497789405656,18.8639313790484,12.49,1.007,36.5115152868581,39.6203389395609,18.5664679535457,19.2755325626017
"58",19.7978629023237,31.4800062954893,23.4079001011092,9.58372838473164,6.298,6.173,34.6449725173836,43.4648188589626,20.208276437534,24.9118085779254
"59",44.5845117439893,21.4278310950036,14.0465065280996,34.2464418645895,3.893,1.551,35.9408101808815,42.8520385812898,14.4295963902205,27.9454633195466
"60",39.3525545122324,19.5112916288071,17.9711537739027,7.84088802908718,19.81,19.67,36.3911163548675,38.999824145186,20.8731976640222,14.4011854275688
"61",17.6680538574116,29.9671521661524,21.3819042633333,16.8022066778085,3.821,2.874,33.5144560884608,36.2737923670282,16.8250092499031,13.655965582593
"62",27.9279323191939,10.3130714380255,19.8074946975837,16.392106104821,10.17,6.453,39.0219920444467,39.7738613484686,21.0124514762365,17.7454858023545
"63",22.9129112982951,38.9826694373869,20.5249681512378,10.7707379820432,2.4,1.189,27.6389062868223,36.9673086065175,8.09376611939721,12.1108755171322
"64",19.6020923867279,18.6533134666146,10.6791413515307,20.9694932761905,3.535,15.61,41.4450631602867,40.0734364813861,15.877562225289,19.5199307628836
"65",19.8092249135301,18.07871870248,31.6886440487196,7.38959029868743,3.908,6.256,43.2816052536205,37.5314829138439,21.6886274105404,12.6902258990652
"66",14.9267242972539,7.51147953061526,5.21081352772499,10.7226741271186,12.52,6.553,40.4678355519603,38.6669198138998,16.3309506381222,13.5991792925306
"67",20.9987323467677,29.0312575329394,23.012738950135,20.7746954571619,5.003,6.241,40.581872856266,38.6620854517397,20.432821124131,17.7978874713248
"68",19.8286390036054,21.1961208366565,24.0396313090155,33.3128369885744,13.01,1.516,39.0349661118509,39.6743741058187,16.5095045543752,21.5128715638574
"69",19.8169721571748,19.7379283340851,24.0764162924127,19.6661837475363,4.086,12.56,33.6816176096993,37.6258178828547,13.6038098583403,18.0868435051811
"70",19.8271893587654,16.3862793179783,23.7114587695498,24.7745188838156,6.345,6.368,53.0321700802297,39.4877761563959,19.0160964393109,20.5599210097514
