"","Logistic CAT","NEC CAT","Pw CAT","Logistic CONT","NEC CONT","Pw CONT"
"dataset150",41.9978103648698,83.4417038435084,35.0005616576013,44.9717758588606,44.1415861651514,52.9992883601503
"dataset151",44.2844658399284,155.85280731221,NA,43.3085034981359,133.720908158223,NA
"dataset152",40.8344344775568,39.6507593702025,53.2392485170143,52.2021756897459,49.0074556757368,56.3993066794171
"dataset153",43.8793249827671,43.7647702881885,48.1146472779508,47.8707327885145,46.1348236681504,50.3438721951419
"dataset154",44.1133306507686,42.4968660573998,47.7967808149741,54.7217936140807,63.2624124912057,54.2363116336323
"dataset155",50.6964878339007,49.6743891977138,58.4137224303411,43.8945256288342,141.9451991776,43.6067546705116
"dataset156",29.5472236861579,96.8697415628237,32.160346668538,41.703916695832,38.4545695688749,NA
"dataset157",49.4225126704956,48.517090689935,NA,42.0020694891756,38.0393262499441,50.4509669028104
"dataset158",51.4490612201416,151.140087491105,NA,58.4183911859316,55.4764062946815,60.1476530766883
"dataset159",43.9401635320773,135.42028119318,44.2210852811815,45.4823830479891,136.584388234668,47.6613493763209
"dataset160",52.8228763587733,53.2394040613907,59.3662149727969,53.1485063276576,49.2861282886441,53.3716875791776
"dataset161",46.235050809305,47.7415609086435,44.4024576205007,51.8839411221941,51.5807608181817,NA
"dataset162",55.8921379407186,54.3494475765187,64.7301967416557,48.463819646246,47.0111388657197,54.8914331267992
"dataset163",49.9637237983127,55.4980587971046,47.1884923889081,46.9245097510358,43.8160784914221,52.1609311054042
"dataset164",52.2952217679357,51.9120931750901,56.3098115868536,50.753363792761,48.645813412006,54.859657358998
"dataset165",39.8267094003387,72.0888659652809,32.9203694179807,49.6341013903909,50.075881846958,NA
"dataset166",54.6741364859018,160.00746747654,57.191315515335,46.7003284721635,49.7117126544546,NA
"dataset167",51.8780114195121,51.5747451999557,53.7987616678261,47.8516886997091,47.0138234175973,47.0177734374558
"dataset168",44.0739204077884,44.8565810881976,47.6752021861417,44.5253012927255,59.050260788084,44.716040971345
"dataset169",40.3107182154334,40.7445726495552,56.1404154253072,32.8425118235702,33.8047884018666,42.468119848561
"dataset170",39.9358893105484,41.7230944973642,41.8946769550911,49.5840131033477,49.3676680473511,NA
"dataset171",49.5476737459387,48.5096658972714,56.7322750332882,44.5666854739402,148.106979341358,43.3251000392274
"dataset172",44.1047128333271,78.8956678344732,44.2918112006791,47.248748078309,44.7695050819667,53.3295382712075
"dataset173",44.9963775966864,139.009779796344,53.3120799920165,39.3812205270465,37.200426991975,44.8957917138332
"dataset174",51.6732020609739,50.5485368368382,NA,50.7425093333538,49.0272285354142,56.0442809148919
"dataset175",38.4129055962776,173.979889470182,35.9831849167161,46.3611106577904,143.664623995433,NA
"dataset176",43.0815416334402,42.4836636701935,NA,45.506913630854,147.701930813064,45.3045039188138
"dataset177",50.844104105527,170.314958457936,47.0945471251468,53.5719035186773,51.3666336394143,NA
"dataset178",54.7274520364059,151.523582281039,61.5068056371852,46.2114315272258,47.0794146054712,47.2849076041189
"dataset179",58.4276518035832,56.8590889139228,62.1402281341144,35.0074013328091,149.005801939422,35.3178580562865
